"005591","汇添富鑫永定开债C"
"005363","中银证券安源债券C"
"009407","格林泓远纯债A"
"005362","中银证券安源债券A"
"006544","平安惠聚纯债债券"
"006332","招商金鸿债券A"
"010728","中泰兴诚价值一年持有混合A"
"010729","中泰兴诚价值一年持有混合C"
"005212","汇安稳裕债券"
"007623","中欧滚利一年滚动持有债券C"
"006629","招商鑫悦中短债A"
"006630","招商鑫悦中短债C"
"005601","汇安中短债债券A"
"005602","汇安中短债债券C"
"006224","中银中债3-5年期农发行债券"
"003825","天弘信利债券C"
"006184","格林泓鑫纯债A"
"008946","中欧弘涛债券C"
"007551","鑫元泽利债券"
"010078","博时恒荣一年混合A"
"007220","天弘华享三个月定开债"
"004630","平安合信定开债"
"008549","汇安中债-广西信用债A"
"007901","汇添富中短债A"
"011623","汇添富中短债E"
"008550","汇安中债-广西信用债C"
"002927","长盛盛和纯债A"
"010223","博时双季享持有期债券A"
"001546","博时裕盈3个月定开债"
"002928","长盛盛和纯债C"
"010239","平安瑞尚六个月持有混合A"
"003651","博时丰达纯债6个月定开债"
"010244","平安瑞尚六个月持有混合C"
"010803","天弘庆享债券A"
"003682","博时安弘一年定开债发起式A"
"003683","博时安弘一年定开债发起式C"
"005462","博时富业3个月定开债"
"008732","招商添浩纯债C"
"009408","格林泓远纯债C"
"005301","前海开源弘泽债券发起式A"
"005302","前海开源弘泽债券发起式C"
"005295","诺德天富灵活配置混合"
"162299","泰达宏利集利债券C"
"240003","华宝宝康债券A"
"006952","中银景元回报混合"
"007964","华宝宝康债券C"
"501041","汇添富弘安(LOF)A"
"501042","汇添富弘安(LOF)C"
"003265","招商招坤纯债A"
"007318","中银民丰回报混合"
"003258","博时富祥纯债债券A"
"009168","博时富祥纯债债券C"
"004689","博时丰庆纯债债券"
"100066","富国纯债债券发起A/B"
"100068","富国纯债债券发起C"
"004767","中银智享债券"
"003156","招商招悦纯债A"
"003157","招商招悦纯债C"
"006333","招商金鸿债券C"
"002869","融通通裕定开债"
"005514","南华瑞恒中短债债券C"
"007609","汇安嘉诚债券A"
"005127","平安合正定开债"
"005513","南华瑞恒中短债债券A"
"007610","汇安嘉诚债券C"
"007612","汇安裕和纯债债券C"
"006185","格林泓鑫纯债C"
"008941","华泰紫金周周购3月滚动债A"
"004899","中银信享定期开放债券"
"010079","博时恒荣一年混合C"
"007611","汇安裕和纯债债券A"
"008942","华泰紫金周周购3月滚动债C"
"008993","汇添富多策略纯债A"
"011597","汇添富多策略纯债E"
"008411","博时富信纯债债券"
"501053","东方红目标优选定开混合"
"008994","汇添富多策略纯债C"
"010746","富安达长三角区域主题混合"
"010226","博时双季享持有期债券B"
"010227","博时双季享持有期债券C"
"010341","招商产业精选股票A"
"010342","招商产业精选股票C"
"008643","国金惠远纯债C"
"008798","国金惠安利率债A"
"008799","国金惠安利率债C"
"217001","招商安泰混合"
"004814","中欧红利优享混合A"
"004815","中欧红利优享混合C"
"003626","平安鑫利混合A"
"005482","博时创新驱动混合A"
"006433","平安鑫利混合C"
"005483","博时创新驱动混合C"
"004978","富国聚利三个月定开债"
"007641","泰达宏利鑫利债券A"
"006986","平安季添盈定开债A"
"003023","博时景发纯债债券"
"007642","泰达宏利鑫利债券C"
"006988","平安季添盈定开债E"
"006987","平安季添盈定开债C"
"002745","北信瑞丰丰利混合"
"005315","泰达宏利交利3个月定开债A"
"005316","泰达宏利交利3个月定开债C"
"161624","融通可转债债券A"
"007996","博时富顺纯债债券"
"006145","前海开源鼎欣债券A"
"008642","国金惠远纯债A"
"010270","汇安嘉盈一年持有期债券C"
"005477","长安鑫禧灵活配置混合A"
"005478","长安鑫禧灵活配置混合C"
"011125","富国文体健康股票C"
"004932","招商丰拓灵活混合A"
"004696","东兴量化优享混合"
"007115","金元顺安桉盛债券C"
"000244","天弘稳利定期开放A"
"009789","富安达科技创新混合"
"000245","天弘稳利定期开放B"
"010229","平安鼎弘混合(LOF)D"
"007752","中银招利债券A"
"007753","中银招利债券C"
"007645","平安季享裕定开债A"
"010202","天弘中证科技100指数增强A"
"010203","天弘中证科技100指数增强C"
"007647","平安季享裕定开债E"
"007646","平安季享裕定开债C"
"161625","融通可转债债券C"
"006146","前海开源鼎欣债券C"
"007315","汇安嘉盈一年持有期债券A"
"001889","中欧增强回报债券(LOF)E"
"501310","华宝沪港深中国增强(LOF)A"
"007397","华宝沪港深中国增强(LOF)C"
"002252","融通成长30灵活配置混合"
"160518","博时睿远"
